,raw_line
10,"Phoebe: (pause as she considers it) Okay, well Ross, what is this really about?
Ross: Oh, I just, I just heard about this, you know, Rachel's moving in and I, I thought I was supposed to be the house-husband, but it turns out he's the house-lovers.
Phoebe: Oh.
Ross: So, so that's it? It's uh, it's it's just so weird, you know, me moving in...
Phoebe: Oh, yeah.
Ross: But I, I was too scared to move in, so, uh...
Phoebe: Yeah, yeah, me too.
Ross: Oh,"
11,"Chandler: Unless Snoopy says it to Charlie Brown, I think we're okay.
Monica: Okay, what is this? What is this?
Chandler: Oh, relax! It's not like I'm taking this seriously!
Monica: Please, Chandler.
Chandler: Oh, relax! I'm taking this seriously!
Monica: Oh my God!
Chandler: Okay, you go first, I will go last.
Monica: Okay, I'm in!
Chandler: I'm in!
Monica: Okay, I'm out!
Chandler: I'm out! (They both walk out together. He turns to"
12,"JOEY: Really. Why can't we just get some pizzas and get some beers and have fun?
JOEY: I don't know, we should probably have fun too huh?
CHANDLER: Yeah, you know what, I think we should at least have a couple beers and a couple beers and a couple pizzas. I mean, you know, then we can get back to our normal lives.
JOEY: Yeah, then I guess we can get back to work.
CHANDLER: Yeah, then I guess we can have fun.
JOEY: Fun, you know what, you really think this is fun?
CHANDLER: No, a little.
JOEY: Yeah,"
13,"Rachel: Ohh! I would kill for a salmon skin roll right now!
Chandler: Oh yeah?
[Scene: Ross's apartment. He and Emily are sitting on the couch.]
Emily: Well, this morning, I realised it's been a very boring day.
Ross: Oh, no, no, no, no. It's been boring. Really boring.
Emily: Oh, what about you?
Ross: What about me?
Emily: What about you?
Ross: Oh, no, no, no, no, no. I mean, I've been working on this for a while now, and I figured we were done, right?
Emily:"
14,"Ross: (hands Chandler his pad and walks in) I want my turkey now!
Chandler: Okay.
Joey: Okay.
Chandler: I want my turkey now!
Joey: Okay.
Chandler: (he pushes Joey back against the wood) What're you pushing me against the wood, huh?
Joey: Oh, just the wood, that's all.
Chandler: Oh-oh, then I guess I can't-
Joey: Oh-oh, then I guess I can't push at all!
Chandler: You go get 'em, Joe! (He starts to go at him, but Joey backs off"
15,"Phoebe: I don't know, he just started kissing me. Get him! Get him, Vince!
Monica: He's not a lover.
Phoebe: Oh, he's not a lover, he's a sex-saucer!
Monica: Oh, honey, that is so sweet! Have you told him how you feel?
Phoebe: Yeah.
Monica: Oh, you're gonna do it now, aren't ya?
Phoebe: Yes.
Monica: Oh, Pheebs, it's so sweet that you want to do it, but it's just so weird, you know, 'cause you always did it with the guy, right?
"
16,"Phoebe: (To Ross) Which-which sister is this? Is this the spoiled one or that’s bitter?
Ross: Oh, that’s what I said!
Phoebe: Oh, she’s so sweet. She’s so sweet. (Mimicking him) ""Sweetie, you’re so sweet, honey you’re so sweet."" (Yelling) I’m gonna go! Oh, I’m going! I’m going!
(She runs into the hall and there Ross is standing. She is now trying to pull the door open so that Ross can come in the apartment.)
Ross: Oh hey, you want me to help you open"
17,"Phoebe: (after a short pause) I didn't even think about that! (pause) Aaargh, sexual politics!!
Chandler: I'm sorry, what?
Phoebe: Oh, you're right, I'm sorry, I'm just... I'm just so tired of having to make excuses! Y'know, like, 'Oh, that's why Rachel's married.' Oh, I'm tired of, of, of you know, 'Oh, that's why Joey's married.' Oh, I'm tired of, of you know, 'Oh, that's why Jill's married.' Oh, I'm tired, so I'm sorry.
Chandler: Hey!
Phoebe: Yeah! Yeah!"
18,"Chandler: We don抰. Not until it's a hundred percent. I mean, why upset everybody over nothing.
Rachel: Okay, I think I can help you out here.
Chandler: Oh, you can?
Rachel: Yeah. If you don抰 want to do it yourself, that抯 fine.
Chandler: Okay, I can do it?
Rachel: Yeah.
(Chandler starts putting back the bill. Suddenly, Monica jumps up, and Chandler panics.)
Monica: What is this? What is this?
Chandler: What is going on?
Monica: We have a problem.
Chandler: Oh, a problem with Monica"
19,"Phoebe: Uh-huh. Oh, yeah, I could write about the time my hair did that ""Woo-hoo"" thing.
Phoebe: Oh, that-that, you must have a really squeaky clean shower.
Monica: What is that?
Phoebe: I just say that your hair is amazing.
Chandler: Really?
Phoebe: Oh sure, your head!
Monica: I'm not gonna care.
Chandler: Oh, you're gonna care.
Monica: You're gonna care.
Phoebe: Yeah.
Monica: I'm not gonna care.
Chandler: Oh, you're gonna be a really good friend.
Phoe"
20,"Monica: Oh, good to see you too. Did you come down here to tell me that?
Chandler: Uh, yeah, I came down to tell you that. Let me tell you that.
Monica: Well, it's not that big of a deal.
Chandler: No?
Monica: No?
Chandler: Okay, I just came down here to tell you that I love you.
Monica: Oh my God, Chandler, that's so sweet.
Chandler: Yeah?
Monica: Oh my God, Chandler, I love you too.
Chandler: Oh, I gotta get one thing straight. 'Pour it on!"
21,"Rachel: Well that is because you have never been on a date with me before.
Ross: What? Wha...
Rachel: (Pauses as if waiting for something to happen) Oh Ross, please, let me just stop you right there. I am not a hussy, I am not a hussy, you know what I am not, you know what I am not.
Ross: (Angry) What about my date last night?
Rachel: Oh, well that is what I said.
Ross: What?
Rachel: My date last night.
Ross: Oh. (He gets up, annoyed, and starts walking towards her again)
Rachel: Oh.
Ross"
22,"Monica: Come on, okay, come on this is for all womankind. Let's kill 'um!
(Chandler and Joey enter, having defeated Monica's game and are leaving.)
Chandler: Ugh, I can't believe we're actually doing this.
Joey: Why don't you just switch?
Chandler: Because then you'd have to play by the rules.
Joey: Oh, I can't believe you guys are really doing this.
Chandler: I am the last person on Earth to have actually done this.
Joey: Oh, I wanna do this!
Chandler: Yeah, but you guys?
Joey: Yeah, you're"
23,"Chandler: Oh yes, yes, we could play some other game... like, uh, I don't know... Pictionary?
Monica: Yeah, we could.
Chandler: All right, so, I'll go see if I can play anymore.
Monica: Chandler!
Chandler: God, I'm exhausted.
Monica: Chandler!
Chandler: Oh, I'm going to bed.
Monica: Chandler!
Chandler: I'm really tired.
Monica: Oh, are you going to bed with me?
Chandler: No.
Monica: Are you going to bed with Joey?
Chandler: No.
Monica: I'm going"
24,"Rachel: Ah! Well it was Joey reading Drake's lines in the dream...
Joey: Ow!
Monica: Oh my God, he's right there!
[Scene: Chandler and Joey's apartment. Chandler is reading Joanne's diary.]
Chandler: Well that's it. I'm sorry. I'm done.
Joey: You're not finished yet?
Chandler: No. No. No. I'm writing. I'm writing... (writes the first few lines) ...one more time. And I'm gonna end it with, 'Dear you, I love you' (Joey looks shocked but also understands.) I love you. I love"
25,"Phoebe: I dunno, well he got over the ""we were on a break"" thing really quickly.
Joey: Oh, I’m sorry, it’s just ‘cause ‘cause ‘cause ‘cause you guys were in a relationship, it just doesn’t seem like such a big deal.
Phoebe: Yeah, it does seem like it’s not a big deal!
Joey: Yeah, it isn’t.
Phoebe: Oh, but it is.
Joey: It’s not?
Phoebe: No it’s not, because you don’t know how long you’ve known"
26,"Joey: Hey, you can cancel plans with friends if there is the possibility for sex!
Chandler: No, I just think it would be very awkward.
Joey: Oh, it would be awkward.
Chandler: Yeah, no, no, if you have plans.
Joey: Yeah, I know. And how would you feel if I told you that I was doing laundry there?
Chandler: Oh, Joey, your gonna be sorry. (Joey looks around worriedly) What?
Joey: Well, I know it's not your laundry, but-but there's a possibility for sex.
Chandler: What?
Joey: Yeah"
27,"Rachel: Come on! Serious-ser-ser-seriously, what did she mean by that? (Mimicking Monica.) Especially you!
Joey: (To Rachel) Hey, I was there!
Rachel: Ooh, I hate when I have to do something like that, I just—I feel like I have to do everything. I mean, I—I have to call my mom, for one thing.
Chandler: Hey, don't you have to call your Mom?
Rachel: Yeah, I know, I do. But, but, but, I just don't have that much time. And, and I don't want to. I don't want to be that person who's had three babies and they still don't"
28,"Ross: I hate America! When I finish this game, I swear I am moving.
Phoebe: Great!
(They start to leave.)
Joey: You guys, you have to stay.
Ross: What?
Joey: This is crazy.
Phoebe: Okay, I don't care what you say. (She goes over to Ross and kisses him.) Don't go.
Ross: No, but...
Joey: Why not?
Ross: Because... (He goes for the cushions with his left hand and Chandler the cushions with his right hand. Chandler tries to stop him, but Ross pulls away.)
Joey: Ross! Ross! Ross"
29,"Rachel: (excited and clapping her hands in front of her face) Goody, what is it!
Chandler: I, I know, I have the most amazing news!
Phoebe: Oh, what is it?
Chandler: I have been accepted at the Golden Globes!
Phoebe: (gasps) Oh my God!
Chandler: Yes, I have!
Monica: Oh my God!
Phoebe: Ohh!
Chandler: I didn't get one picture! And I didn't get one kiss!
Phoebe: Oh, I'm so happy!
Chandler: No, I don't want any of the"
30,"Rachel: Well, legend has it Joey, that... she comes alive when you're asleep.
Joey: Oh, that's terrible.
(Both Chandler and Monica give Joey a look.)
Monica: She does that when you're asleep, yeah.
Joey: Yeah, I... I have to be careful.
Monica: (laughing) No?
Joey: Why not!
Monica: No, 'cause, 'cause, well because, this is how you feel when you're asleep, y'know, it's... it's like, it's like you're in a zoo and you don't know anybody.
Joey: Oh.
Monica: Yeah"
31,"JOEY: Bijan for men? Bijan for men? Bijan for men? Hey Annabelle. What are you doing here?
ANNABELLE: Well, I came down to say good-bye to my dad and the rest of the gang.
JOEY: Oh, and good-bye to the rest of the gang.
ANNABELLE: I don't know, I don't know. I don't know.
JOEY: Well, you gonna stay here and I'll stay out here, huh?
ANNABELLE: Well, I don't know. I don't know what to do.
JOEY: Oh, I can't say that I didn't think"
32,"Ross: Hey, what are you doing shopping at eight in the morning?
Monica: Well, I was at the store, and then I went down to this antique store, and then I met this neat little guy who was looking at me.
Ross: Whoa, huh?
Monica: (to him) What are you doing?
Ross: You, are you, are you shopping at eight in the morning?
Monica: Yeah.
Ross: Well, that is, that is quite early, if you know what I mean. (He looks at Monica, who's not impressed by this.)
Monica: All right, I'm gonna go upstairs.
Ross"
33,"Monica: (laughs) I don’t have anything like that, but let me go see if Rachel does.
Phoebe: Okay.
(They both exit.)
Phoebe: Oh! (Goes over and kisses her)
Monica: What?
Phoebe: Oh! (They kiss and Phoebe pulls away, causing Monica to jump.) What’s going on?
Monica: Oh my God! Chandler’s kiss is real!
Phoebe: Oh, it’s so fake!
Monica: Oh my God!
Phoebe: Oh, he’s so cute! (They kiss again.)
Monica: Chandler’s"
34,"Monica: So do you think that these pictures—Are, are they trying to tell a story?
Chandler: I guess.
Monica: I mean, when you look at them, you think, 'Let's see what this is like.'
Chandler: Yeah.
Monica: You know that I mean, you know the story.
Chandler: Okay, let's see, uh, okay, the story is that, uh, Joey and Rachel got back together, and now Joey is moving in and he wants to have a baby, and then Rachel has to move out so he can have a baby, and now Joey has to move out so he has a baby, and then Rachel"
35,"Monica: (To Chandler) Okay, the red ones are my guests and the blue ones are yours.
Chandler: (shrugs) Your guests?
Monica: Oh, yeah!
Chandler: Oh my God!
Monica: Oh my God! You are going to find some guy at your party!
Chandler: My party?
Monica: Oh my God! I am going to find some guy and I am going to party with him!
Chandler: Well, are you just going to throw him a bone or are you going to throw a girl a bone?
Monica: Oh no, no, this is a party! You guys are going to be"
36,"MONICA: Why, it's dinner for six. 5 steaks, and an eggplant for Phoebe.
[Scene: Monica and Rachel's Balcony, Phoebe is looking out of the window.]
PHOEBE: Oh, this is so beautiful. This is my favorite part. Ugly naked guy playing with a bunch of chicks. Oh, yeah, I know, I know, ""Hey, can you see me doing this?""
[Scene: Central Perk, Ross is on the couch, and Rachel is out on the balcony.]
RACHEL: Oh, Ross, honey, I really, really want you to see this, you know.
ROSS: Oh, come on.
R"
37,"CHANDLER: Ok, I don't care what you guys say, something's bothering her.
JOEY: Oh, she's a bitch. She screams at you all the time, and she would kill us if she knew we were here.
CHANDLER: Yeah, well, we're not here.
JOEY: That's what it is.
CHANDLER: Oh, hey, I know what it is.
JOEY: Oh, huh, yeah, let's see uh, how it started.
CHANDLER: Hey, I don't want to.
JOEY: Hey, don't look at me.
CHANDLER: Hey, I don't want to.
"
38,"Monica: (yelling after them) I can’t believe you’re gonna have sex on my engagement night!!
Phoebe: Oh, I’m sorry. I’m sorry. I’m sorry.
Monica: I’m so sorry.
Phoebe: I’m so sorry.
Monica: I’m so sorry.
Phoebe: I’m so sorry.
Monica: I’m so sorry.
Phoebe: I’m so sorry.
Monica: I’m so sorry.
Phoebe: I’m so sorry.
[Scene: The hallway, Chandler is looking in"
39,"Joey: Oh no! How can she do that when she's never shown any interest in you?!?
Ross: No, no, no, no.
Monica: She's been very hostile toward me.
Chandler: Oh, okay, so what do you say?
Ross: No, I say she's just crazy.
Joey: Crazy! Ross, Ross, you're crazy.
Ross: No, no, no, no, no! She's crazy, man. She's crazy.
Chandler: Okay, so, you're not crazy?
Joey: No, I'm the crazy one!
Commercial Break
[Scene: The beach house, continued from earlier.]"
40,"Joey: I know! That’s why we got to find Monica!! You know where she is?
Phoebe: No, but she’s right down there. (Points)
Joey: Right! Right! (He walks over to where Monica is laying down a flower.)
Monica: Oh, Joey, thank you.
Joey: Oh, hey, hey, hey, hey, you know where the uh, flower is.
Monica: Right there. (Points.)
Joey: Right there. (Points.)
Monica: (Picking up a flower and holding it to her nose) Oh-oh, Joey, don’t bite it. (She takes her"
41,"Ross: Hey-hey have you ever locked yourself in a TV cabinet VD boy?!
Phoebe: Oh please! I'm not your girlfriend!
Joey: Hey! I'm not your girlfriend!
Phoebe: Oh please, Joey, that's not what this is! This is! This is a game!
Joey: Oh-oh-oh, you know what? I don't care! I'm not gonna get too comfortable tonight!
Phoebe: Oh, and you're gonna get cold.
Joey: Oh. I don't know, I haven't really been working out lately.
Phoebe: Well, you know, I just do this thing"
42,"Rachel: I dunno. Y’know to me he’ll always be “Jack Geller, walks in while you’re changing.”
Ross: No, to me he’ll always be Jack Geller, walks out while you’re changing.
Rachel: All right, so I guess there’s no problem.
Ross: No. No, there’s not.
Rachel: Oh, come on! What’s so bad about him?
Ross: Nothing, nothing. He’s just, y’know he’s always been like this. (Walks into his bedroom.)
Rachel: Was it something he said at the party?
Ross: No. No. I was just imagining"
43,"Rachel: No. I was just going to do this myself. (Joey makes a sarcastic laugh.)
Monica: No, you didn't. (Chandler tries to stop laughing.)
Joey: Yeah, I didn't.
Chandler: All right, I was gonna do it myself.
Joey: Yeah, I was gonna do it myself!
Chandler: Oh, yeah! Yeah! (Monica is still laughing.)
Joey: All right, get out of here!
Chandler: No! You stay here! (To Joey) Just, just talk to her.
Joey: I can't! I can't! They were just talking to me!"
44,"Ross: Know what—If somebody doesn’t tell me what’s going on right now…
Ross: (interrupting) What’s going on?
Joey: I’m gonna tell you!
Ross: (shocked) What? Why?
Joey: Okay, I saw the board again and uh, I know it’s you coming in again!
Ross: I came in! I came in!
Joey: Oh come on Ross! Who came in first?
Ross: I’m sorry, I put the clock back where you left it!
Joey: So I just asked you to come in and I didn’t want you to"
45,"PHOEBE: What when Yeller saves saves the family from the wolf and everyone's happy?
RACHEL: Well, then you're gonna need a lot of help, you know.
MRS. GREENE: [enters] OK, this is so hard. I can't feel my hands.
RACHEL: I know, I am so sorry.
MRS. GREENE: I'm so sorry.
RACHEL: No, no, no, no, no, no, no, no, no.
[Back to Chandler and Joey's room. Chandler is trying to pick up some things from Monica's room.]
CHANDLER: Oh hey, I thought we were"
46,"Chandler: Wow, y'know when you say it, it doesn't sound so scary.
Joey: Ohh, yeah, that's why I say it, ""That's why I say it, ""That's why I say it, ""Why don't you go to Mexico and tell that to the guy who made that beautiful woman, that was you, when he was making out with her.""
Chandler: (excited) Oh my God!
Joey: What do you know?!
Chandler: It's our anniversary.
Joey: It's not our anniversary?!
Chandler: Okay, you don't have to know.
Joey: Hey, don't"
47,"Monica: Well, I mean what about friends of your grandmother’s? Wouldn’t they have the recipe?
Chandler: They didn’t! But you did! And this is so much more fun!
Monica: I know, this is the best party ever!
Chandler: Well, what about this? (Grabs a glass from the table.) This is the best birthday present I can give you.
Monica: Oh my God you want me to make you a cupcake, but I’m just never going to make you a cupcake.
Chandler: Well, you’re not never going to make me a cupcake. I’m just never going"
48,"Rachel: Yeah! Oh by the way, thank you for loaning us Pamela and Yasmine.
Phoebe: Oh, I know, and I'm very glad we got you the apartment. (To Yasmine) Yeah, I'm so glad you're here.
Yasmine: Oh, Phoebe.
Phoebe: Oh, Yasmine.
Yasmine: Listen, I'm so sorry I called you today.
Phoebe: Oh, okay, that's okay. Tell me what's up.
Yasmine: Well, there's this thing and I don't know how to tell you about it.
Phoebe: Oh, I'm sorry.
Y"
49,"Phoebe: Oh, I told the stripper to be here at five. That’s good right?
Rachel: Yeah.
Phoebe: So, are you ready yet?
Rachel: Yeah, I’m a half-hour late. I got a half-hour.
Phoebe: Oh, good. Great!
Rachel: Yeah.
Phoebe: Okay, I’ll just uh, put your coat on.
Rachel: Okay.
Phoebe: Okay, just put my coat on.
Rachel: Okay.
(Phoebe puts her coat on and starts to leave.)
Phoebe: (she turns around and notices a little boy standing there)"
50,"Rachel: Yeah, kicking a guy in the crotch all morning really takes it out of ya!
Ross: (trying to change the subject) No, I'm serious. I'm serious. I'm serious. I hate it when guys just sit there and talk!
Rachel: Oh Ross, you're so pathetic.
Ross: Ohh, you're right! (turns around and punches Rachel in the arm)
Rachel: Oh, (looks away)
Ross: (turns around and punches her again)
Commercial Break
[Scene: Monica and Chandler's, Chandler is watching a cooking class, Rachel is cooking and Monica is on the floor.]
Chandler: (turning around"
51,"Chandler: All right. I've got a plan. I'll go down the fire escape.
Monica: Oh honey, you're going down the fire escape?
Chandler: Yeah, on purpose. (They start making out again.)
Monica: Chandler!!
Chandler: I don't know why I'm such a baby.
Monica: Oh, come on! What's your plan?!
Chandler: Well, I wanna go down the fire escape, and I wanna see if there's any squirrel meat.
Monica: Oh my God! (Chandler starts to head down the fire escape.)
Chandler: Okay, I'll go down the fire escape"
52,"Phoebe: (panicking) But Emma's got what it takes, she could go all the way!
Ross: I'm sorry, but you're right, I'm sorry.
Phoebe: So what's with the animated man?
Ross: I don't know, I mean, there's got to be something, I mean, some kind of evil spirit, you know...
Phoebe: Oh, oh, oh, oh, oh, oh...
Ross: Oh, god, it's not just Emma.
Phoebe: No, no, no, no, no! Emma's not evil! Oh, she's so-so...
Ross: No, no, no, no,"
53,"Joey: OK. (Ross goes out on the balcony to talk to Rachel) Hey, where are the guys? They've been practicing selling cookies.
Rachel: Oh, they're not here.
Ross: (turns around) OK, look, there's something I have to tell ya. I'm gonna be on two TV shows for the next 48 hours, I'm gonna be the host of a new daytime talk show, and I'm about to have a baby.
Rachel: Oh my God.
Ross: So you're pregnant.
Rachel: Oh my God!
Ross: Yeah, I'm so sorry.
Rachel: No, it's OK.
Ross: Yeah?
"
54,"Phoebe: Ooh, this is so exciting! Ooh, God, what are you going to bet? (looks at the form) Ooh, you're in!
Chandler: (entering) Hey!
Phoebe: Hey!
Chandler: I have a question.
Phoebe: Oh, Chandler what, are you trying to get me to bet on you?
Chandler: No, I'm not trying to get you to bet on me.
Phoebe: Oh, forget it.
Chandler: Yeah, no, I don't think I can afford it.
Phoebe: Okay, remember when we broke up? Well, what do you"
55,"RACHEL: I know, I just didn't want to wear my glasses on my first date.
MONICA: Oh, I'm sorry.
ROSS: Oh, okay.
RACHEL: Hey, I'm not wearing my sunglasses on my first date.
MONICA: Well, why not?
RACHEL: Oh, they're sunglasses, I'm not gonna wear them on my first date.
MONICA: Oh, good, because those sunglasses are gonna get you killed.
RALPH: [enters] Hey, Rache.
RACHEL: [gives her something]
ROSS: Hey.
ROSS: What's this?
RACHEL: Oh"
56,"Chandler: What...? That's not you! Life is good again! Ride 'em cowgirl!
Rachel: (entering) Hey!
Chandler: (To Rachel) See you at lunch!
Rachel: Yeah! (They hug)
Chandler: Great!
Rachel: Oh, thanks! (Rachel is very happy. Chandler is sad.)
Chandler: I know.
OPENING CREDITS
[Scene: Monica and Rachel's apartment. Phoebe and Frank are getting ready for the party.]
Phoebe: (running into the kitchen) Okay, there's a little bit undercoating left, do you want me to clean the tops?
Frank:"
57,"Chandler: (very seriously) That's really not the kind of thing we are looking for Zack.
Joey: Yeah, I know.
Chandler: Look, I'm sorry it's talking to you like that, but I am interested in the wedding dress, and I am too.
Joey: Man, I'm glad we're not married.
Chandler: Yeah.
Joey: Yeah.
[Scene: The hallway, Joey and Chandler are talking.]
Chandler: Okay, so it's just like me and her, just them, her and the altar, and the…wait.
Joey: Yeah. Well, what do you say? What do you say?"
58,"Joey: Oh, that sounds like fun, but we’ve got a ring to find!! (Turns to Chandler and Chandler has two rings on his fingers.) (To Rachel) Come on!
[Scene: The airport, Phoebe has the ticket and is trying to find the next flight to Paris.]
Phoebe: (jumping over the railing) Ooh, look, there it is! Look, there it is! (She sees the screen, and stops.) Oh. (She picks up the ticket and gasps.) There it is! (She holds out her hand.)
Rachel: Oh my God!
Phoebe: Oh, there it is! (She holds out her other"
59,"Ross: So Pheebs, are you gonna go back out there or what?
Phoebe: Yes, I will! I will go back there tomorrow night!
Ross: What?! Pheebs, come on, come on!
Phoebe: Oh, okay, fine! Fine I will go back there! It's just that tonight is the night we’ve been waiting for!
Ross: Tonight?
Phoebe: Yeah, it's just that, well, it's just that I, I have this, this new, this, this, (laughs) feeling that I want to cry.
Ross: Oh, this is so hard.
Phoebe:"
60,"Joey: I meant female nudity. Alright? I don't need to see Lou Grant frolicking.
Ross: I'm sorry. I'm sorry. I'm sorry.
Chandler: You're right, I'm sorry.
Ross: Alright, alright. Listen, you don't have to explain. You don't have to explain. I'm not going to be mad at you, I'm just worried about you not being able to be in the same room as me anymore.
Chandler: Oh, uhm, right, right.
Ross: That's why I'm worried.
Chandler: (looks at him) Oh, yeah.
Ross: And that's why I'm"
61,"Ross: No really, I mean, I mean, God, I could use a friend. And then I thought about it, and I decided, no, I'm sorry.
Chandler: Okay, well, I'm sorry too. But, you know, I'm here too, so...
[Scene: Monica and Rachel's, Monica and Rachel are talking.]
Rachel: Oh my God!
Monica: Wow!
Rachel: I know! He was like the nicest guy ever!
Monica: Aw, are you kidding?
Rachel: Yeah, I know! I know! I just, I just can't seem to break with this guy.
Monica: Oh, are"
62,"Rachel: Really?! You think so? Y’know, I had just rolled out of bed. And then you grabbed me and started pulling me towards the bedroom.
Chandler: Well, roll over time was of the essence y’know, and the woman said that you were still sleeping.
[Scene: Monica and Rachel's, Phoebe is trying to tell Joey about Emily's ultimatum again.]
Phoebe: (entering) Hey!
Joey: Hey.
Phoebe: So umm, I’ve been trying to get to know you a little better, and I figured out that you’re into a lot of women. I’m sorry"
63,"Phoebe: That’s nice. I like having things to read in the bathroom. (She grabs the tissue from where Phoebe was holding the tissue and starts to wipe her face.)
Phoebe: Okay, okay. Umm, I’m thinking about how I was really feeling right now. And I’m thinking…ohh, it’s gonna be really hard for me to leave a room without making a scene. Is that okay?
Monica: Oh, absolutely!
Phoebe: Oh, okay.
Monica: (starts to leave) Okay! (They start to take each other's clothes off.)
Phoebe: Oh wait!"
64,"Ross: No. I am not putting on makeup. (Knock at the door. Phoebe enters.) Oh! I'm so sorry. I'm-I'm so sorry. (She opens the door.)
Phoebe: You're not supposed to be here!
Phoebe: Oh, come on! I'm here to tell you! To tell you that you should walk out of here! You and your little friends are walking down the street and you should come home and be with your family! And you know it! You know it! (She hurries out the door and closes the door.)
Phoebe: So, I'll see my parents.
[Scene: Monica and Rachel's apartment, Chandler"
65,"Monica: This is so great! And I’m gonna be your baby’s aunt!
Ross: Dad, dad, don’t you think this is a little crazy?
Daddy: Are you sure it’s not just a little crazy?
Ross: Mom, I am really sure this is a good thing for me!
Phoebe: All right, so you’re darn lucky!
Ross: Not really! Y’know what? (He grabs his arm and pulls it off of the wall.) Y’know what? This is really good for me right now, and I’m gonna be here for you! I’m gonna be here for you"
